,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency
Mean1,55.86575,55.86575,55.89525,0.02949999999999875,False,0.15050000000000097,0.17999999999999972,1,0.4585255791504595,55.87975,0.014000000000002899,0.01549999999999585,33.8983050847472
Mean1,56.04575,56.04575,56.0735,0.027750000000004604,False,0.14774999999999494,0.17549999999999955,1,0.44407040018314564,56.0595,0.013750000000001705,0.014000000000002899,36.036036036030055
Mean1,56.22125,56.22125,56.251999999999995,0.030749999999997613,False,0.1460000000000079,0.1767500000000055,1,0.49314155841670765,56.23725,0.016000000000005343,0.01474999999999227,32.52032520325456
Mean1,56.398,56.398,56.427,0.028999999999996362,False,0.15100000000000335,0.17999999999999972,1,0.46076600001165974,56.41225,0.014249999999996987,0.014749999999999375,34.48275862069398
Mean1,56.578,56.578,56.60625,0.028249999999999886,False,0.14699999999999847,0.17524999999999835,1,0.44800447200436083,56.591750000000005,0.013750000000001705,0.014499999999998181,35.398230088495716
Mean1,56.75325,56.75325,56.78375,0.03049999999999642,False,0.14725000000000676,0.17775000000000318,1,0.4719348047259924,56.7685,0.015250000000001762,0.015249999999994657,32.78688524590549
Mean1,56.931000000000004,56.931000000000004,56.958999999999996,0.027999999999991587,False,0.15125000000000455,0.17924999999999613,1,0.4498810471270899,56.945,0.013999999999995794,0.013999999999995794,35.714285714296444
Mean1,57.11025,57.11025,57.13875,0.02850000000000108,False,0.14674999999999727,0.17524999999999835,1,0.45012838712790537,57.12425,0.014000000000002899,0.014499999999998181,35.08771929824429
Mean1,57.2855,57.2855,57.3165,0.030999999999998806,False,0.14750000000000085,0.17849999999999966,1,0.48749832422533357,57.30075,0.015250000000001762,0.015749999999997044,32.258064516130275
Mean1,57.464,57.464,57.49175,0.027750000000004604,False,0.15099999999999625,0.17875000000000085,1,0.44505322202808834,57.478,0.014000000000002899,0.013750000000001705,36.036036036030055
Mean1,57.64275,57.64275,57.67175,0.029000000000003467,False,0.146250000000002,0.17525000000000546,1,0.45983946650476637,57.657000000000004,0.014250000000004093,0.014749999999999375,34.48275862068553
Mean1,57.818000000000005,57.818000000000005,57.84825,0.030249999999995225,False,0.1490000000000009,0.17924999999999613,1,0.46696936439056175,57.8325,0.014499999999998181,0.015749999999997044,33.05785123967464
Mean1,57.99725,57.99725,58.02475,0.027499999999996305,False,0.15024999999999977,0.17774999999999608,1,0.44564504891357243,58.011250000000004,0.014000000000002899,0.013499999999993406,36.36363636364125
Mean1,58.175,58.175,58.20475,0.029749999999999943,False,0.1460000000000008,0.17575000000000074,1,0.4745148479085944,58.189750000000004,0.01475000000000648,0.014999999999993463,33.613445378151326
Mean1,58.35075,58.35075,58.3815,0.030750000000004718,False,0.1490000000000009,0.17975000000000563,1,0.48171811816627924,58.365500000000004,0.01475000000000648,0.015999999999998238,32.52032520324704
Mean1,58.5305,58.5305,58.55775,0.02724999999999511,False,0.14999999999999858,0.1772499999999937,1,0.44123204484172757,58.54425,0.0137499999999946,0.013500000000000512,36.6972477064286
Mean1,58.70775,58.70775,58.7375,0.029749999999999943,False,0.146250000000002,0.17600000000000193,1,0.46632498051465165,58.72275,0.015000000000000568,0.014749999999999375,33.613445378151326
Mean1,58.88375,58.88375,58.91375,0.030000000000001137,False,0.14999999999999858,0.17999999999999972,1,0.4623561318309098,58.898,0.014250000000004093,0.015749999999997044,33.33333333333207
Mean1,59.06375,59.06375,59.09125,0.02750000000000341,False,0.1494999999999962,0.1769999999999996,1,0.44301353434835583,59.07775,0.014000000000002899,0.013500000000000512,36.363636363631855
Mean1,59.24075,59.24075,59.27075,0.030000000000001137,False,0.1460000000000008,0.17600000000000193,1,0.4740163744680086,59.256,0.015250000000001762,0.014749999999999375,33.33333333333207
Mean1,59.41675,59.41675,59.446999999999996,0.030249999999995225,False,0.15000000000000568,0.1802500000000009,1,0.47936738371957743,59.43125,0.014499999999998181,0.015749999999997044,33.05785123967464
Mean1,59.597,59.597,59.6245,0.027499999999996305,False,0.1494999999999962,0.1769999999999925,1,0.44004813039557866,59.61075,0.013750000000001705,0.0137499999999946,36.36363636364125
Mean1,59.773999999999994,59.773999999999994,59.80375,0.02975000000000705,False,0.1460000000000008,0.17575000000000784,1,0.47294988109947766,59.78875,0.01475000000000648,0.015000000000000568,33.6134453781433
Mean1,59.94975,59.94975,59.9795,0.029749999999999943,False,0.15050000000000097,0.1802500000000009,1,0.46332856674386197,59.96425,0.014499999999998181,0.015250000000001762,33.613445378151326
Mean1,60.13,60.13,60.158,0.027999999999998693,False,0.14824999999999733,0.17624999999999602,1,0.4652277182575296,60.14425,0.014249999999996987,0.013750000000001705,35.714285714287385
Mean1,60.30625,60.30625,60.3365,0.03025000000000233,False,0.14650000000000318,0.1767500000000055,1,0.4712963105953506,60.32175,0.015500000000002956,0.014749999999999375,33.057851239666874
Mean1,60.483000000000004,60.483000000000004,60.51225,0.029249999999997556,False,0.15099999999999625,0.1802499999999938,1,0.4599875626656747,60.49725,0.014249999999996987,0.015000000000000568,34.188034188037044
Mean1,60.66325,60.66325,60.691,0.027750000000004604,False,0.14824999999999733,0.17600000000000193,1,0.45262478235451054,60.677,0.013750000000001705,0.014000000000002899,36.036036036030055
Mean1,60.83925,60.83925,60.87,0.030749999999997613,False,0.1457499999999996,0.17649999999999721,1,0.4936985263303639,60.855000000000004,0.01575000000000415,0.014999999999993463,32.52032520325456
Mean1,61.01575,61.01575,61.04475,0.029000000000003467,False,0.15125000000000455,0.18025000000000801,1,0.4532378044680636,61.03,0.014250000000004093,0.014749999999999375,34.48275862068553
Mean1,61.196000000000005,61.196000000000005,61.224,0.027999999999991587,False,0.14700000000000557,0.17499999999999716,1,0.44702014756455455,61.20975,0.0137499999999946,0.014249999999996987,35.714285714296444
Mean1,61.371,61.371,61.4015,0.03049999999999642,False,0.14699999999999847,0.17749999999999488,1,0.47281933983172875,61.38675,0.015749999999997044,0.014749999999999375,32.78688524590549
Mean1,61.5485,61.5485,61.5775,0.029000000000003467,False,0.15075000000000216,0.17975000000000563,1,0.46321164416545496,61.563,0.014500000000005286,0.014499999999998181,34.48275862068553
Mean1,61.72825,61.72825,61.75675,0.028499999999993975,False,0.14650000000000318,0.17499999999999716,1,0.4580610540152055,61.742000000000004,0.013750000000001705,0.01474999999999227,35.087719298253035
Mean1,61.90325,61.90325,61.93375,0.030500000000003524,False,0.14799999999999613,0.17849999999999966,1,0.46964276439819397,61.918,0.014749999999999375,0.01575000000000415,32.78688524589785
Mean1,62.08175,62.08175,62.10925,0.02750000000000341,False,0.15074999999999505,0.17824999999999847,1,0.448841868294154,62.0955,0.013750000000001705,0.013750000000001705,36.363636363631855
Mean1,62.26,62.26,62.28925,0.02925000000000466,False,0.1457499999999996,0.17500000000000426,1,0.462844410196909,62.27425,0.014250000000004093,0.015000000000000568,34.18803418802874
Mean1,62.435,62.435,62.4655,0.03049999999999642,False,0.14874999999999972,0.17924999999999613,1,0.4720206613607024,62.44925,0.014249999999996987,0.01624999999999943,32.78688524590549
Mean1,62.61425,62.61425,62.641999999999996,0.0277499999999975,False,0.14900000000000801,0.1767500000000055,1,0.45275195569316506,62.62825,0.014000000000002899,0.0137499999999946,36.036036036039285
Mean1,62.791000000000004,62.791000000000004,62.821000000000005,0.030000000000001137,False,0.1457499999999925,0.17574999999999363,1,0.4697933043286475,62.80625,0.015249999999994657,0.01475000000000648,33.33333333333207
Mean1,62.96675,62.96675,62.99625,0.029500000000005855,False,0.15074999999999505,0.1802500000000009,1,0.4590469019144158,62.981,0.014250000000004093,0.015250000000001762,33.898305084739036
Mean1,63.147,63.147,63.17475,0.027750000000004604,False,0.14724999999999255,0.17499999999999716,1,0.4440545326613584,63.16075,0.013750000000001705,0.014000000000002899,36.036036036030055
Mean1,63.321999999999996,63.321999999999996,63.3525,0.030500000000003524,False,0.14675000000000438,0.1772500000000079,1,0.4725632990709661,63.3375,0.015500000000002956,0.015000000000000568,32.78688524589785
Mean1,63.49925,63.49925,63.5275,0.028249999999999886,False,0.15074999999999505,0.17899999999999494,1,0.45739727359825183,63.51325,0.013999999999995794,0.014250000000004093,35.398230088495716
Mean1,63.67825,63.67825,63.707,0.028750000000002274,False,0.1457499999999996,0.17450000000000188,1,0.4598702676534947,63.69225,0.014000000000002899,0.014749999999999375,34.78260869564942
Mean1,63.85275,63.85275,63.88325,0.03049999999999642,False,0.14850000000000563,0.17900000000000205,1,0.4681632870532123,63.8675,0.014749999999999375,0.015749999999997044,32.78688524590549
Mean1,64.03175,64.03175,64.05925,0.02750000000000341,False,0.14999999999999147,0.17749999999999488,1,0.4460703107631644,64.0455,0.013750000000001705,0.013750000000001705,36.363636363631855
Mean1,64.20925,64.20925,64.23899999999999,0.029749999999992838,False,0.14550000000001262,0.17525000000000546,1,0.4652707435948231,64.224,0.01475000000000648,0.014999999999986358,33.613445378159355
Mean1,64.3845,64.3845,64.41425,0.029749999999992838,False,0.15000000000000568,0.17974999999999852,1,0.46157444227938793,64.3985,0.013999999999995794,0.015749999999997044,33.613445378159355
Mean1,64.56425,64.56425,64.592,0.0277499999999975,False,0.14799999999999613,0.17574999999999363,1,0.45679222987859014,64.578,0.013750000000001705,0.013999999999995794,36.036036036039285
Mean1,64.74,64.74,64.7705,0.030500000000003524,False,0.1460000000000008,0.17650000000000432,1,0.48282133289884505,64.75575,0.015750000000011255,0.01474999999999227,32.78688524589785
Mean1,64.9165,64.9165,64.94525,0.028750000000002274,False,0.15125000000000455,0.18000000000000682,1,0.45299329723784737,64.9305,0.013999999999995794,0.01475000000000648,34.78260869564942
Mean1,65.0965,65.0965,65.1245,0.027999999999991587,False,0.14700000000000557,0.17499999999999716,1,0.4484349057625222,65.11,0.013499999999993406,0.014499999999998181,35.714285714296444
Mean1,65.2715,65.2715,65.30199999999999,0.030499999999989313,False,0.14700000000000557,0.17749999999999488,1,0.47352708946681576,65.28675,0.015249999999994657,0.015249999999994657,32.786885245913126
Mean1,65.449,65.449,65.477,0.028000000000005798,False,0.15075000000000216,0.17875000000000796,1,0.4480763685666902,65.46300000000001,0.014000000000010004,0.013999999999995794,35.71428571427832
Mean1,65.62775,65.62775,65.6565,0.028749999999988063,False,0.1460000000000008,0.17474999999998886,1,0.458812647519464,65.642,0.014249999999989882,0.014499999999998181,34.78260869566662
Mean1,65.8025,65.8025,65.83325,0.030750000000011823,False,0.14824999999999022,0.17900000000000205,1,0.47491503961856,65.8175,0.015000000000000568,0.015750000000011255,32.52032520323953
Mean1,65.9815,65.9815,66.00925,0.0277499999999975,False,0.15024999999999977,0.17799999999999727,1,0.44994202395417876,65.9955,0.014000000000010004,0.013749999999987494,36.036036036039285
Mean1,66.1595,66.1595,66.189,0.02949999999999875,False,0.1457500000000067,0.17525000000000546,1,0.4668397430667619,66.174,0.014500000000012392,0.014999999999986358,33.8983050847472
Mean1,66.33475,66.33475,66.365,0.030249999999995225,False,0.1495000000000033,0.17974999999999852,1,0.4642611319224473,66.349,0.014250000000004093,0.015999999999991132,33.05785123967464
Mean1,66.5145,66.5145,66.54225,0.0277499999999975,False,0.14849999999999852,0.17624999999999602,1,0.4469280473280798,66.52850000000001,0.014000000000010004,0.013749999999987494,36.036036036039285
Mean1,66.69075,66.69075,66.72125,0.030500000000003524,False,0.1457500000000067,0.17625000000001023,1,0.4754949942335853,66.70625,0.015500000000002956,0.015000000000000568,32.78688524589785
Mean1,66.867,66.867,66.89625,0.02924999999999045,False,0.15100000000001046,0.1802500000000009,1,0.4565369321410101,66.881,0.013999999999995794,0.015249999999994657,34.18803418804535
Mean1,67.04725,67.04725,67.07525,0.027999999999991587,False,0.14724999999999966,0.17524999999999125,1,0.4584041260016542,67.061,0.013750000000001705,0.014249999999989882,35.714285714296444
Mean1,67.2225,67.2225,67.25325,0.030749999999997613,False,0.14650000000000318,0.1772500000000008,1,0.47868936669227546,67.2385,0.016000000000005343,0.01474999999999227,32.52032520325456
Mean1,67.39975,67.39975,67.42875,0.028999999999996362,False,0.15125000000000455,0.1802500000000009,1,0.45671153458295083,67.414,0.014250000000004093,0.01474999999999227,34.48275862069398
Mean1,67.58,67.58,67.608,0.028000000000005798,False,0.14724999999999966,0.17525000000000546,1,0.4502119215407638,67.59375,0.013750000000001705,0.014250000000004093,35.71428571427832
Mean1,67.75525,67.75525,67.786,0.030749999999997613,False,0.14700000000000557,0.17775000000000318,1,0.4773227568560048,67.771,0.015749999999997044,0.015000000000000568,32.52032520325456
Mean1,67.933,67.933,67.9615,0.028499999999993975,False,0.15174999999999272,0.1802499999999867,1,0.4538154116428144,67.947,0.013999999999995794,0.014499999999998181,35.087719298253035
