,Time,Peaks Amplitude,Intervals
Mean1,0.13425,0.4412474053979421,0.17300000000000001
Mean1,0.30725,0.4733392753711975,0.17274999999999996
Mean1,0.48,0.44708988042342723,0.17075000000000007
Mean1,0.65075,0.4407002373909954,0.1725
Mean1,0.82325,0.46386944025109844,0.17325000000000002
Mean1,0.9965,0.44666727148364865,0.17049999999999998
Mean1,1.167,0.4476013857354548,0.1725000000000001
Mean1,1.3395000000000001,0.4812853467061643,0.1735
Mean1,1.5130000000000001,0.4423913057611952,0.17074999999999996
Mean1,1.68375,0.4366306867913473,0.17249999999999988
Mean1,1.85625,0.4615144824903275,0.1737500000000003
Mean1,2.0300000000000002,0.4439871642818245,0.17124999999999968
Mean1,2.20125,0.4507213882287641,0.17300000000000004
Mean1,2.37425,0.46939041988582125,0.17375000000000007
Mean1,2.548,0.4424402770223174,0.17025000000000023
Mean1,2.7182500000000003,0.44392098269336333,0.1742499999999998
Mean1,2.8925,0.4669351361646812,0.1732499999999999
Mean1,3.06575,0.4469002120839295,0.16999999999999993
Mean1,3.23575,0.4538921014514005,0.17525000000000013
Mean1,3.411,0.4656430105298026,0.17249999999999988
Mean1,3.5835,0.4378968301969273,0.17074999999999996
Mean1,3.75425,0.45656906560508526,0.17525000000000013
Mean1,3.9295,0.4663065416119676,0.17124999999999968
Mean1,4.10075,0.4535061174704882,0.17275000000000063
Mean1,4.2735,0.4624450187534301,0.1745000000000001
Mean1,4.448,0.4423411322295011,0.17074999999999996
Mean1,4.61875,0.44535057593778393,0.17499999999999982
Mean1,4.79375,0.46690394083843234,0.17300000000000004
Mean1,4.96675,0.44085597871877663,0.17100000000000026
Mean1,5.1377500000000005,0.4717522737553927,0.17524999999999924
Mean1,5.313,0.45222136245303707,0.17149999999999999
Mean1,5.4845,0.43747139693836146,0.17375000000000007
Mean1,5.65825,0.4629843520760766,0.17425000000000068
Mean1,5.8325000000000005,0.4453880329050174,0.17074999999999996
Mean1,6.00325,0.45663873119088616,0.17549999999999955
Mean1,6.17875,0.45848373583749363,0.1720000000000006
Mean1,6.350750000000001,0.4358220663604126,0.17299999999999915
Mean1,6.52375,0.46272694325935226,0.1750000000000007
Mean1,6.69875,0.4417553364094322,0.17099999999999937
Mean1,6.86975,0.46399487716292,0.17575000000000074
Mean1,7.0455000000000005,0.4580544750606537,0.17225000000000001
Mean1,7.2177500000000006,0.43632259533169854,0.17324999999999946
Mean1,7.391,0.4615501940298775,0.1745000000000001
Mean1,7.5655,0.4327316868084122,0.17149999999999999
Mean1,7.737,0.45861435143907364,0.17574999999999985
Mean1,7.91275,0.4602727706610296,0.1719999999999997
Mean1,8.08475,0.43677517671268606,0.17425000000000068
Mean1,8.259,0.46499333961600414,0.17425000000000068
Mean1,8.433250000000001,0.43577284035909175,0.1712499999999988
Mean1,8.6045,0.45370675071965144,0.17624999999999957
Mean1,8.78075,0.4588633154673265,0.17175000000000118
Mean1,8.9525,0.44217090943581117,0.17549999999999955
Mean1,9.128,0.46463858766854044,0.17324999999999946
Mean1,9.30125,0.43253082342679045,0.17325000000000124
Mean1,9.4745,0.46190404972704513,0.17525000000000013
Mean1,9.649750000000001,0.44157123343842825,0.1712499999999988
Mean1,9.821,0.46026931299460727,0.17625000000000135
Mean1,9.997250000000001,0.4514346995871488,0.17199999999999882
Mean1,10.16925,0.44452386350498385,0.17575000000000074
Mean1,10.345,0.4655070214176673,0.17324999999999946
